SMILES,shift_value
N#CCC(F)(F)F,-65.0
FC(F)(F)C1=CC=NC=C1,-65.0
FC(F)(F)C1=CC2=C(C=CC=C2)O1,-65.0
CCOC(=O)CC(F)(F)F,-65.0
CC(F)(F)F,-65.0
FC(F)(F)CC1=CC=CC(CC(F)(F)F)=N1,-65.0
[H]/C(CCCC)=C(/[H])C(F)(F)F,-65.0
CCCC/C=C/C(F)(F)F,-65.0
[H]/C(CCCCCC)=C(/[H])C(F)(F)F,-65.0
[H]/C(C(C)=O)=C(/[H])C(F)(F)F,-65.0
[H]C([H])=C([H])CC(F)(F)F,-65.0
O=C(CCC(F)(F)F)C1=CC=CC=C1,-65.0
FC(F)(F)C1CCNC(N2CCCOCC2)C1,-65.09
CC1(C)C(C(F)(F)F)CCN1C(=O)NC1CCCNC1,-65.15
CC1NN(C)CC1-C1CSC(CC(F)(F)F)N1,-65.2
NC1CNCCC1C(F)(F)F,-65.2
O=C1C(C(F)(F)F)CCCN1CC1CCC1,-65.24
NC1NNC(CC(F)(F)F)S1,-65.27
CC1CCCNC1CN1CCCC(C(F)(F)F)C1=O,-65.28
CC1NC(CN2CCCC(C(F)(F)F)C2=O)SC1C,-65.33
N#CC1CCCCC1CN1CCCC(C(F)(F)F)C1=O,-65.36
N#CC1CCC(CN2CCCC(C(F)(F)F)C2=O)CC1,-65.37
CC1CC(S(N)(=O)=O)CNC1C(F)(F)F,-65.45
[H]/C(=N\O)C(F)(F)F,-65.5
CC1CC(CN2NC(C(F)(F)F)NC2C)NO1,-65.51
O=S(=O)(CCC(F)(F)F)N1CCOCC2(CC2)C1,-65.55
FC(F)(F)CI,-65.6
CC1NC(C(F)(F)F)CCC1O,-65.61
O=C(C1CCC(-C2NOC(C(F)(F)F)N2)CC1)N1CCC1,-65.67
[H]C([H])=C(C(F)(F)F)C(F)(F)F,-65.7
CC1NC(C(F)(F)F)CCC1N,-65.72
CC(=O)NC1(C2NOC(C(F)(F)F)N2)CCCCCC1,-65.76
CC1NC(CN2CCCC(C(F)(F)F)C2=O)NO1,-65.9
CC1(C)C(C(F)(F)F)CCN1CC(N)=O,-65.93
O=C1CC(C(F)(F)F)CN[NH]1,-65.95
F/C(Br)=C/C1=CC=CC=C1,-66.0
NCCC(F)(F)F,-66.0
[H]C(=O)/C([H])=C(\[H])C(F)(F)F,-66.0
[H]/C(C(=O)O)=C(/[H])C(F)(F)F,-66.0
[H]/C(C(=O)C1=CC=CC=C1)=C(/[H])C(F)(F)F,-66.0
COCCC(F)(F)F,-66.0
O=CCCC(F)(F)F,-66.0
FC(F)(OC1=CC=CC=C1)C1=CC=CC=C1,-66.0
NC(N)(C1=CC=CC=C1)C(F)(F)F,-66.0
O=C(O)C1CC2CCC(C(F)(F)F)NC2[NH]1,-66.1
CN1NC(C(F)(F)F)NC1N,-66.13
O=C(CCC(F)(F)F)N1CCC[C@H]2CCCC[C@H]21,-66.25
CNC(=O)NC1CCC(C(F)(F)F)NC1,-66.35
[H]/C(=C(/[H])C(F)(F)F)C(F)(F)F,-66.4
O=C(CCC(F)(F)F)N1CC2CCC1C2,-66.4
[H]C1=C(Br)N=C(C(F)(F)F)S1,-66.5
CCC1CN(C(=O)[C@@H]2C[C@H]2C(F)(F)F)C1,-66.52
CCC(=O)NC1CCC(C(F)(F)F)NN1,-66.65
O=C1CC(C(F)(F)F)C2C([NH]1)CCC2,-66.75
NC(=O)NC[C@H]1CCCC[C@H]1C(F)(F)F,-66.84
CC1NC(C(F)(F)F)OC1C(=O)O,-66.89
O=C(O)CN1CCCC(C(F)(F)F)C1=O,-66.97
FC1=NC=CC=C1,-67.0
FC(F)(F)C1=NC2=CC=CC=C2O1,-67.0
FC(F)(F)C1=NC2=CC=CC=C2N=C1,-67.0
FC(F)(F)C1=NC=CN=C1,-67.0
CCCCCCC(=O)CCC(F)(F)F,-67.0
CCC(F)(F)F,-67.0
CCS(=O)(=O)NC1CCC2OC(C(F)(F)F)NC2C1,-67.04
COC1CCCC(C(=O)N2CC3CC2(C(F)(F)F)C3)C1,-67.15
N#CC1CCC(CN2NC(C(F)(F)F)CCC2=O)CC1,-67.18
